pbTrophies,kingLevel,cardLevels,warDayWins,winRate,maxChallengeWins,opponentTrophies,opponentKingLevel,maxOpponentChallengeWins,opponentCardLevels,opponentWinRate,winning
5808,13,10.0106383,138,0.51168368,10,5791,13,9,11.16842105,0.520200867,1
5904,12,9.510638298,81,0.536718131,11,6447,13,20,10.52631579,0.64226819,0
5859,13,11.19148936,90,0.514054771,10,5777,12,7,10.23404255,0.542917448,1
6000,13,12.23157895,154,0.53,10,6202,13,12,10.34042553,0.528540305,0
5660,11,9.536842105,22,0.473063973,10,7003,13,15,10.8,0.603444281,0
5668,13,10.54255319,135,0.562292052,12,5942,13,10,9.457446809,0.500993908,1
5880,12,9.831578947,82,0.517086331,12,4151,11,10,8.914893617,0.496506458,1
5868,13,10.82978723,164,0.563065722,12,5308,12,10,7.457446809,0.586451613,1
5707,12,8.79787234,66,0.552501127,14,5839,13,11,10.47368421,0.494677634,0
5618,11,7.903225806,20,0.524610854,6,5386,12,10,9.489361702,0.6001999,0
5471,11,9.14893617,64,0.525812304,9,5702,13,10,10.32631579,0.609410865,1
5849,12,9.829787234,97,0.53013951,9,5794,13,10,9.936170213,0.525749424,0
5694,12,9.393617021,81,0.55601876,8,5249,11,9,9.494736842,0.513657562,1
5482,12,8.79787234,50,0.509376584,9,5911,13,12,10.47368421,0.563126478,0
5476,11,8.978947368,39,0.564585115,9,6512,13,12,9.138297872,0.535336821,0
5450,11,9.736842105,22,0.590316574,9,6173,13,10,11.13684211,0.51053373,0
5310,11,9.463157895,72,0.511389237,8,5921,13,12,9.20212766,0.501908397,0
5458,12,9.840425532,72,0.502934816,12,6034,13,10,10.92553191,0.5249501,0
5360,12,9.659574468,77,0.527378218,12,5896,13,9,10.36842105,0.540256892,1
5914,13,10.38947368,113,0.524255788,11,5563,12,10,10.33684211,0.51396648,1
5881,13,10.19148936,102,0.526238352,11,5691,13,10,9.79787234,0.530200308,1
5714,12,9.105263158,116,0.533146592,12,5358,11,12,8.107526882,0.538022814,0
5726,13,10.22340426,98,0.52024084,10,5071,12,10,8.20212766,0.502784699,0
5852,13,10.58947368,57,0.519940112,12,5461,13,11,10.58947368,0.506922918,1
5768,13,11.07446809,75,0.498422552,11,5359,12,11,9.255319149,0.532547412,0
5583,12,9.063829787,78,0.517534538,12,5375,11,8,8.10989011,0.509341429,1
5415,12,9.568421053,28,0.553940568,10,5429,12,12,9.095744681,0.523248305,0
5588,11,9.265957447,69,0.47175999,7,5405,12,12,7.925531915,0.52042186,1
5911,12,8.585106383,96,0.570515746,10,6210,13,11,9.252631579,0.533757339,0
5640,12,9.021505376,91,0.524014203,10,5583,12,10,10.0212766,0.463838535,0
5571,13,12.81052632,61,0.496366685,11,6035,13,10,10.03191489,0.505182991,0
5481,12,9.663157895,104,0.563628358,12,5527,12,7,9.617021277,0.546751784,0
5309,11,8.276595745,45,0.569527897,11,5668,13,10,10.27368421,0.57082512,0
5453,12,9.755319149,34,0.577860169,10,5449,11,10,8.861702128,0.561286892,1
5516,12,10.34042553,53,0.477587368,12,4768,10,8,7.580645161,0.50997151,0
5356,12,10.19148936,41,0.501253133,10,5165,12,10,10.58947368,0.427765001,1
5358,12,9.936842105,92,0.537159676,20,5564,12,10,9.694736842,0.499450885,1
5651,13,10.60638298,131,0.50868666,8,6100,13,10,10.51578947,0.585634328,0
5431,12,9.021276596,31,0.50958344,11,4904,11,9,9.627659574,0.653095844,0
5287,13,10.86315789,43,0.472477832,10,5383,11,9,7.451612903,0.489923793,1
5268,12,9.744680851,23,0.526080477,10,5395,10,12,8.172043011,0.490560101,0
5096,11,8.521276596,18,0.526403326,11,5618,12,6,8.680851064,0.505725191,0
5272,11,9.010526316,17,0.486662027,11,5713,13,11,9.765957447,0.519462025,0
5932,13,10.82978723,139,0.559179556,12,5710,12,10,8.063157895,0.526538988,1
5655,12,10.05319149,131,0.574500768,14,5406,12,10,9.765957447,0.572920418,0
6206,13,10.58510638,125,0.52897443,12,5310,12,10,9.489361702,0.487402259,1
5816,13,10.58510638,162,0.541386741,10,4637,12,9,9.819148936,0.507799443,1
5987,13,10.6,54,0.518423308,10,5103,10,6,8.397849462,0.46529563,1
5749,13,10.15957447,90,0.53293636,10,5304,12,10,10.29473684,0.54839754,0
5616,12,8.553191489,91,0.490909091,10,5303,11,7,8.765957447,0.577731092,1
5574,11,9.010526316,56,0.49344078,8,4553,10,4,6.924731183,0.648351648,1
5731,13,10.85263158,139,0.51518733,10,5532,12,9,10.08510638,0.472247706,1
5509,13,9.691489362,47,0.494362533,8,3690,8,0,7.101265823,0.567934783,0
5563,12,8.585106383,81,0.540682415,10,5505,11,6,7.372340426,0.462280843,0
5324,12,9.095744681,118,0.608793687,10,5653,12,10,9.634408602,0.509250243,1
5449,12,9.705263158,106,0.478674791,10,4598,8,0,4.602409639,0.629268293,1
5302,12,9.244680851,39,0.435547208,6,5321,12,7,8.736842105,0.521546961,1
5461,11,8.311827957,16,0.499681596,12,5269,12,8,10.10526316,0.435948052,0
5553,12,9.393617021,49,0.523553299,11,5441,13,11,10.16842105,0.538499917,0
5629,12,9.35106383,95,0.572649573,11,5624,12,12,9.29787234,0.523502654,0
5294,11,8.440860215,27,0.508861439,11,4531,9,0,7.466666667,0.677272727,1
5360,10,8.382978723,36,0.52152381,8,5709,12,7,7.578947368,0.479308777,0
